NSC,OV:IGROV1,OV:OVCAR-3,OV:OVCAR-4,OV:OVCAR-5,OV:OVCAR-8,OV:SK-OV-3,OV:NCI/ADR-RES
5062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5192,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5355,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5417,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5550,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5620,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5648,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5889,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5890,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5920,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7215,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7390,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7420,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7436,0.0,1.0,0.0,0.0,0.0,1.0,0.0
7519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7530,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7757,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8174,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8179,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8360,0.0,0.0,0.0,0.0,0.0,0.0,0.0
